Angka Deforestasi Netto Indonesia Di Dalam Dan Di Luar Kawasan Hutan Tahun 2013-2022  (Ha/Th),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provinsi, 2013-2014 ,,, 2014-2015 ,,, 2015-2016 ,,, 2016-2017 ,,, 2017-2018 ,,, 2018-2019 ,,, 2019-2020 ,,, 2020-2021 ,,, 2021-2022 ,,
,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,Total Deforestasi,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,Total Deforestasi,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,Total Deforestasi,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,Total Deforestasi,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,Total Deforestasi,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,Total Deforestasi,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,Total Deforestasi,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,Total Deforestasi,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,Total Deforestasi
Aceh,"3,363.9","4,284.2","7,648.1",-72.1,"3,303.5","3,231.5","12,523.0","10,548.6","23,071.6","11,028.1","4,487.6","15,515.7","3,216.4","4,285.8","7,502.2","6,737.5","4,870.5","11,608.0","1,195.3",722.6,"1,917.9","1,816.3","1,182.5","2,998.8","2,834.5","2,532.6","5,367.1"
Sumatera Utara,"4,675.2","1,465.3","6,140.5","15,450.3","5,215.4","20,665.7","7,907.3","1,807.0","9,714.3","16,853.8","5,695.8","22,549.6","4,255.7","3,063.4","7,319.1","9,583.9","2,818.5","12,402.4",470.4,763.2,"1,233.6","2,499.0",840.0,"3,339.0","3,259.5","2,339.4","5,598.9"
Sumatera Barat,"3,330.3","1,725.7","5,056.0","8,813.9","1,685.1","10,498.9","8,199.1",-381.4,"7,817.8","6,567.1","2,112.9","8,680.0","3,824.1","1,689.9","5,514.0","7,626.0","1,698.9","9,324.8",700.2,74.4,774.6,"5,772.0","1,025.0","6,797.0","4,861.4",956.1,"5,817.5"
Riau,"180,786.5","21,152.9","201,939.4","124,314.6","11,216.1","135,530.7","18,365.4","5,825.4","24,190.9","8,120.6","-1,139.0","6,981.6","23,672.3","20,042.5","43,714.8","136,998.3","5,012.9","142,011.1","5,672.6",893.6,"6,566.2","1,425.0",93.0,"1,518.0","7,897.7","1,357.1","9,254.8"
Jambi,"-12,809.6","2,868.1","-9,941.5","15,422.4","1,470.7","16,893.1","24,263.0",558.4,"24,821.4","29,987.1","2,884.2","32,871.3","5,994.4","3,241.2","9,235.6","26,109.6","1,272.3","27,382.0","4,035.0",451.9,"4,486.9","19,442.0",605.0,"20,047.0","5,094.4",372.3,"5,466.7"
Sumatera Selatan,"2,853.5",673.7,"3,527.2","271,032.8","19,744.2","290,777.0","3,089.3","1,204.8","4,294.2","17,437.9","4,848.7","22,286.6","3,619.4",121.6,"3,741.0","57,857.6","2,797.5","60,655.1","-2,353.6",41.6,"-2,312.0","1,982.0",210.0,"2,192.0",-136.6,540.5,403.9
Bengkulu,"12,106.8",-37.4,"12,069.4","2,139.6","1,993.5","4,133.1","1,493.5",305.2,"1,798.8","3,887.9","1,203.5","5,091.5","7,064.0",642.4,"7,706.4","1,959.4",201.2,"2,160.6","3,022.5",337.3,"3,359.8","1,854.0",179.0,"2,033.0","4,432.3",330.0,"4,762.3"
Lampung,197.8,-33.9,163.9,"12,909.9","3,790.3","16,700.2","1,384.1",-170.5,"1,213.6","2,989.5","1,430.8","4,420.3","1,104.7",253.8,"1,358.5",182.3,443.2,625.4,384.1,79.2,463.3,222.0,53.0,275.0,557.6,66.1,623.7
Kepulauan Bangka Belitung,"1,209.7",489.7,"1,699.4","13,594.7","5,697.7","19,292.3",344.8,"1,347.5","1,692.3","1,854.0","1,327.8","3,181.7","3,559.1",186.7,"3,745.8","1,574.3",580.2,"2,154.4",89.3,29.1,118.4,"1,870.0",117.0,"1,987.0","1,683.8",531.3,"2,215.1"
Kepulauan Riau,4.3,0.4,4.6,"1,191.5",130.4,"1,322.0","2,651.4","-1,953.7",697.7,"3,173.7","2,489.2","5,662.8",503.9,-646.4,-142.5,356.7,205.3,562.0,980.3,334.1,"1,314.4",422.0,60.0,482.0,91.8,298.1,389.9
DKI Jakarta,-,-,-,-,-,-,-,-,-,-,-0.8,-0.8,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jawa Barat,"-10,979.5","-3,901.0","-14,880.5","1,750.5","4,309.5","6,060.0",-,-,-,-160.6,-27.4,-188.0,"2,598.9","3,789.6","6,388.5","3,782.4","1,194.9","4,977.4",0.0,0.0,0.0,339.0,43.0,382.0,102.3,127.9,230.2
Jawa Tengah,-79.2,-15.1,-94.3,"1,589.5","3,641.9","5,231.4",-,-,-,-,-,-,"2,004.7","1,110.8","3,115.6","1,859.6",44.5,"1,904.0",0.0,0.0,0.0,195.0,12.0,207.0,209.9,-585.1,-375.2
DI Yogyakarta,0.9,31.9,32.8,51.8,-,51.8,-,-,-,-163.8,-106.5,-270.2,2.4,587.4,589.8,141.4,185.0,326.4,0.0,0.0,0.0,0.0,0.0,0.0,12.9,0.0,12.9
Jawa Timur,"5,452.2","2,044.9","7,497.1","3,621.0","4,128.1","7,749.2",-,-,-,-,-,-,"3,298.6","5,511.7","8,810.3","5,066.4",738.3,"5,804.7",0.0,0.0,0.0,85.0,58.0,143.0,19.4,50.4,69.8
Banten,-237.3,-28.7,-266.1,"1,282.2",529.2,"1,811.5",-,-,-,"-2,534.4","-2,727.7","-5,262.1",-523.6,240.6,-283.1,67.3,16.1,83.4,0.0,34.3,34.3,275.0,3.0,278.0,3.5,-27.4,-23.9
Bali,110.0,20.2,130.2,77.5,0.0,77.5,"4,096.0","3,359.5","7,455.5",-7.4,241.7,234.2,99.5,177.4,276.9,89.3,1.7,91.0,43.8,1.2,45.0,46.0,0.0,46.0,51.2,2.0,53.2
