Angka Deforestasi Netto Indonesia Di Dalam Dan Di Luar Kawasan Hutan Tahun 2013-2022  (Ha/Th),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provinsi, 2013-2014 ,,, 2014-2015 ,,, 2015-2016 ,,, 2016-2017 ,,, 2017-2018 ,,, 2018-2019 ,,, 2019-2020 ,,, 2020-2021 ,,, 2021-2022 ,,
,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,Total Deforestasi,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,Total Deforestasi,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,Total Deforestasi,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,Total Deforestasi,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,Total Deforestasi,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,Total Deforestasi,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,Total Deforestasi,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,Total Deforestasi,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,Total Deforestasi
Aceh,"3,363.90","4,284.20","7,648.10",-72.1,"3,303.50","3,231.50","12,523.00","10,548.60","23,071.60","11,028.10","4,487.60","15,515.70","3,216.40","4,285.80","7,502.20","6,737.50","4,870.50","11,608.00","1,195.30",722.6,"1,917.90","1,816.30","1,182.50","2,998.80","2,834.50","2,532.60","5,367.10"
Sumatera Utara,"4,675.20","1,465.30","6,140.50","15,450.30","5,215.40","20,665.70","7,907.30","1,807.00","9,714.30","16,853.80","5,695.80","22,549.60","4,255.70","3,063.40","7,319.10","9,583.90","2,818.50","12,402.40",470.4,763.2,"1,233.60","2,499.00",840,"3,339.00","3,259.50","2,339.40","5,598.90"
Sumatera Barat,"3,330.30","1,725.70","5,056.00","8,813.90","1,685.10","10,498.90","8,199.10",-381.4,"7,817.80","6,567.10","2,112.90","8,680.00","3,824.10","1,689.90","5,514.00","7,626.00","1,698.90","9,324.80",700.2,74.4,774.6,"5,772.00","1,025.00","6,797.00","4,861.40",956.1,"5,817.50"
Riau,"180,786.50","21,152.90","201,939.40","124,314.60","11,216.10","135,530.70","18,365.40","5,825.40","24,190.90","8,120.60","-1,139.00","6,981.60","23,672.30","20,042.50","43,714.80","136,998.30","5,012.90","142,011.10","5,672.60",893.6,"6,566.20","1,425.00",93,"1,518.00","7,897.70","1,357.10","9,254.80"
Jambi,"-12,809.60","2,868.10","-9,941.50","15,422.40","1,470.70","16,893.10","24,263.00",558.4,"24,821.40","29,987.10","2,884.20","32,871.30","5,994.40","3,241.20","9,235.60","26,109.60","1,272.30","27,382.00","4,035.00",451.9,"4,486.90","19,442.00",605,"20,047.00","5,094.40",372.3,"5,466.70"
Sumatera Selatan,"2,853.50",673.7,"3,527.20","271,032.80","19,744.20","290,777.00","3,089.30","1,204.80","4,294.20","17,437.90","4,848.70","22,286.60","3,619.40",121.6,"3,741.00","57,857.60","2,797.50","60,655.10","-2,353.60",41.6,"-2,312.00","1,982.00",210,"2,192.00",-136.6,540.5,403.9
Bengkulu,"12,106.80",-37.4,"12,069.40","2,139.60","1,993.50","4,133.10","1,493.50",305.2,"1,798.80","3,887.90","1,203.50","5,091.50","7,064.00",642.4,"7,706.40","1,959.40",201.2,"2,160.60","3,022.50",337.3,"3,359.80","1,854.00",179,"2,033.00","4,432.30",330,"4,762.30"
Lampung,197.8,-33.9,163.9,"12,909.90","3,790.30","16,700.20","1,384.10",-170.5,"1,213.60","2,989.50","1,430.80","4,420.30","1,104.70",253.8,"1,358.50",182.3,443.2,625.4,384.1,79.2,463.3,222,53,275,557.6,66.1,623.7
Kepulauan Bangka Belitung,"1,209.70",489.7,"1,699.40","13,594.70","5,697.70","19,292.30",344.8,"1,347.50","1,692.30","1,854.00","1,327.80","3,181.70","3,559.10",186.7,"3,745.80","1,574.30",580.2,"2,154.40",89.3,29.1,118.4,"1,870.00",117,"1,987.00","1,683.80",531.3,"2,215.10"
