Provinsi,Nilai,Tahun,Kategori
Aceh,3363.9,2013-2014,Kawasan Hutan
Sumatera Utara,4675.2,2013-2014,Kawasan Hutan
Sumatera Barat,3330.3,2013-2014,Kawasan Hutan
Riau,180786.5,2013-2014,Kawasan Hutan
Jambi,12809.6,2013-2014,Kawasan Hutan
Sumatera Selatan,2853.5,2013-2014,Kawasan Hutan
Bengkulu,12106.8,2013-2014,Kawasan Hutan
Lampung,197.8,2013-2014,Kawasan Hutan
Kepulauan Bangka Belitung,1209.7,2013-2014,Kawasan Hutan
Kepulauan Riau,4.3,2013-2014,Kawasan Hutan
DKI Jakarta,0.0,2013-2014,Kawasan Hutan
Jawa Barat,10979.5,2013-2014,Kawasan Hutan
Jawa Tengah,79.2,2013-2014,Kawasan Hutan
DI Yogyakarta,0.9,2013-2014,Kawasan Hutan
Jawa Timur,5452.2,2013-2014,Kawasan Hutan
Banten,237.3,2013-2014,Kawasan Hutan
Bali,110.0,2013-2014,Kawasan Hutan
Nusa Tenggara Barat,0.0,2013-2014,Kawasan Hutan
Nusa Tenggara Timur,138.9,2013-2014,Kawasan Hutan
Kalimantan Barat,7872.8,2013-2014,Kawasan Hutan
Kalimantan Tengah,48370.7,2013-2014,Kawasan Hutan
Kalimantan Selatan,5191.9,2013-2014,Kawasan Hutan
Kalimantan Timur dan Kalimantan Utara ,16610.8,2013-2014,Kawasan Hutan
Sulawesi Utara,2249.8,2013-2014,Kawasan Hutan
Sulawesi Tengah,1880.1,2013-2014,Kawasan Hutan
Sulawesi Selatan,2461.6,2013-2014,Kawasan Hutan
Sulawesi Tenggara,1485.0,2013-2014,Kawasan Hutan
Gorontalo,2228.0,2013-2014,Kawasan Hutan
Sulawesi Barat,428.5,2013-2014,Kawasan Hutan
Maluku,589.5,2013-2014,Kawasan Hutan
Maluku Utara,168.4,2013-2014,Kawasan Hutan
Papua Barat,1400.1,2013-2014,Kawasan Hutan
Papua,11472.4,2013-2014,Kawasan Hutan
Aceh,4284.2,2013-2014,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sumatera Utara,1465.3,2013-2014,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
